TITLE,SCORE,UPS,VIEWS,COMMENTS,FAVORITE COUNT,LINK
Who knows you best,7672,8069,14175,740,4462,https://i.imgur.com/px2niLK.jpg
10 Underrated anime,7664,8418,177945,312,8053,https://imgur.com/a/aUJh6
Spongebob: The Animation,7655,7720,262929,343,5974,https://imgur.com/a/0KU7L
My friend made tribute to commemorate the end of Avatar,7607,7880,10005,360,4423,https://i.imgur.com/Ph8eWjt.jpg
The Usual Father Son Talk,7604,7699,149261,261,2614,https://imgur.com/a/mJxUp
Brutal dark fantasy RPG,7592,8017,392599,702,6104,https://imgur.com/a/FFntH
When you have a sassy comeback to a hurtful comment towards your friend.,7507,7729,33546,319,5161,https://i.imgur.com/FNbvmOw.gif
THIS IS ANIME RECOMMENDATIONS! V4.32601 MUTHAF@!#KA!,7494,7993,208144,458,7319,https://imgur.com/a/22XeJ
Anime Recommendation List,7483,7709,207454,785,12078,https://imgur.com/a/Pa4LvrO
Hip with the kids,7473,7518,249231,218,4885,https://imgur.com/a/xdlIe
Virgin Spirit Bomb,7440,7692,9544,255,3491,https://i.imgur.com/hHzx1gU.jpg
So just asked for source on a hentai gif. MRW its 80 minutes long,7409,7674,376595,764,4635,https://i.imgur.com/gyxyXxD.gif
Trust,7390,7525,8977,272,3045,https://i.imgur.com/CHejCrt.png
Cool Ghibli Info,7372,7397,236837,346,5138,https://imgur.com/a/njAiw
Comprehensive Anime Guide to 2015,7330,7666,184386,417,6951,https://imgur.com/a/VxSja
Drawstrings,7323,7621,28258,1007,3803,https://i.imgur.com/xjdBCgX.png
"They are making a ""Batman Ninja""  anime ",7306,7396,265508,659,4937,https://imgur.com/a/rLS5k
"Amazing Motorcycle (sorry for that girl, she wont go away...)",7302,7588,25555,398,4061,https://i.imgur.com/ExB2E9N.jpg
Drawing,7285,7522,265888,403,4555,https://imgur.com/a/Xk5cEEv
Amazing cosplay series,7250,7337,257349,423,3375,https://imgur.com/a/PYPIW
Meirl,7241,7508,331888,982,2104,https://imgur.com/a/4zSeK
This makes me feel so satisfied,7176,7260,97461,266,3782,https://i.imgur.com/mfCdivN.gif
Let's Watch Dark Souls the Anime!,7168,7415,91181,429,5082,https://i.imgur.com/IcNRfCv.gif
Spring 2016 I plan to watch,7132,7480,139011,387,6799,https://imgur.com/a/Khkgd
How to dad right,7049,7101,170461,137,2439,https://imgur.com/a/EZHe9
Deviant Art in a nutshell!,7041,7176,96090,471,1749,https://i.imgur.com/vVtP01L.gif
Anime From Winter 2016 That I Loved,7039,7382,112005,376,7027,https://imgur.com/a/ocq1m
Sakuga: Yutaka Nakamura,7011,7152,195031,284,6324,https://imgur.com/a/rHOOg
DBZ Pre-historia,7007,7240,308491,299,5906,https://imgur.com/a/cpsBp
Girlfriend just sent this to me,6972,7210,8604,527,3158,https://i.imgur.com/lk2v9Rk.png
Food in anime,6960,7042,246397,583,4949,https://imgur.com/a/OBAZ4
I'll have to remember that one,6952,6985,312481,324,3646,https://imgur.com/a/IrEqn
I'll have to remember that one,6949,6924,352520,323,3240,https://imgur.com/a/Qibwd
When you have someone who really gets you,6922,6951,174292,147,1430,https://imgur.com/a/vXNOZmN
Because Physics,6865,6580,224570,407,2892,https://i.imgur.com/karLW5E.gif
How to Draw Faces from different Angles,6855,7210,103724,171,6622,https://i.imgur.com/o7o3hCb.jpg
I want everyone else to cringe with me,6847,7168,244152,943,3900,https://imgur.com/a/XneRVkY
I guess Red isn't *that* great of a Pokémon trainer...,6809,6693,8079,248,2314,https://i.imgur.com/ovNKiK4.png
"My Avatar the Last Airbender ""Elemental Ferocity"" 3D Lenticular Artwork ... hand drawn and self-produced!",6790,6787,136630,197,3721,https://imgur.com/a/kuGHo4W
"MRW a front page post suggests Kill La Kill as a ""starter"" anime",6787,7245,13269,1629,3015,https://i.imgur.com/uf11b2c.jpg
MRW I see a spider,6776,6779,236169,177,3905,https://i.imgur.com/bjF5tNc.gif
Ten of the Best Anime I'd Recommend to Watch,6769,7922,166495,757,7427,https://imgur.com/a/LShkX
"Ok guys, lets get stoned.",6745,6943,67321,267,3255,https://i.imgur.com/XfkQqL2.gif
Small Avatar dump,6694,6712,218391,358,2709,https://imgur.com/a/2oBRDLB
List of Worthwhile Anime (with brief Description),6671,7587,41263,429,7251,https://i.imgur.com/fTb36e0.jpg
Feels on the bus...,6656,6859,7999,349,2935,https://i.imgur.com/PNJUBQ4.jpg
Autumn 2014 anime list,6654,6753,20680,490,6845,https://i.imgur.com/CNPmKel.jpg
Remember Kids...,6625,6886,141329,324,2871,https://imgur.com/a/vNMfi
Now I'm hungry.,6616,6647,159296,443,3908,https://imgur.com/a/txffJAV
Trying to get out of bed in the morning,6593,6175,48645,307,3079,https://i.imgur.com/J0tz3gR.gif
Sick of crappy anime top 10's: Part 2,6588,7118,120153,492,6568,https://imgur.com/a/3Nodg
Watching the humans fall behind.,6575,7218,73066,180,343,https://imgur.com/a/BDJ8T
Knowledge ,6543,6536,187042,208,796,https://i.imgur.com/m791JYz.jpg
me_irl,6521,6144,7113,306,1739,https://i.imgur.com/NdaOYgK.jpg
A Beautiful Day,6508,6970,23555,339,4229,https://i.imgur.com/R1VRWD3.jpg
90's anime recommendations,6498,6687,237770,823,6737,https://imgur.com/a/O6XLl
Pokémon!!,6495,6480,162901,245,4205,https://imgur.com/a/qoNgCO8
Discussing anime in a logical  and mature manner,6452,6656,224020,729,3747,https://i.imgur.com/aDwUqZc.gif
Bros before apparent threats to national security,6445,7020,437836,142,2386,https://i.imgur.com/6iwQrKe.jpg
I few anime I recently finished and recommend,6396,6798,285191,810,12135,https://imgur.com/a/7S3Xw
How to defeat a deer,6379,6535,83434,398,3451,https://i.imgur.com/EfzOTbR.gif
TRY YOUR BEST,6376,6410,305929,144,3436,https://i.imgur.com/WXEYfV4.gif
Title not necessary,6367,6553,38393,293,2047,http://i.imgur.com/6MZoXlLh.gif
Hero,6322,6431,225198,324,1968,https://imgur.com/a/gNDfO
"Negative, I am an animated meat popsicle",6318,6458,273461,269,3644,https://imgur.com/a/8Ew3o
Happy 29th!,6296,6387,188294,202,1323,https://imgur.com/a/WurfA
Downvoting an image on the front page,6251,6589,30304,370,2342,https://i.imgur.com/a8Wlv6D.gif
"As a german: Regular Warmup for kids, not attack on Liver",6223,6373,10016,318,2288,https://i.imgur.com/M6yCPRC.png
McDonalds Japan,6214,6373,149751,618,3470,https://imgur.com/a/P3zqI
Live action anime fight done right,6187,6200,147914,233,3858,https://imgur.com/a/KbUdx9c
Bowsette Fusion,6157,6296,179381,425,3768,https://imgur.com/a/YLvyLXP
Commission - Teacher,6139,6509,289448,414,4150,https://imgur.com/a/ZEyQq
Just a gentle reminder that this masterpiece exists,6137,5710,1154820,365,4085,http://i.imgur.com/zyXaWlMh.gif
Cosplay,6137,6118,414186,456,3329,https://imgur.com/a/BLy9f
Earth is THICC,6129,6358,244635,359,2404,https://imgur.com/a/iyO5s9k
The truth ,6102,6228,215048,1100,521,https://imgur.com/a/YKogqh4
"""Don't look!""",6078,6173,211734,227,2423,https://imgur.com/a/EyYIxEm
Harry Potter and the Sorcerer's Stone,6078,6249,64479,194,3414,http://i.imgur.com/OLyZ1Nsh.gif
Dragon Ball in a nutshell,6077,6070,243445,642,1091,https://imgur.com/a/3xSyP
I Have Anime Gifs,6066,6469,135728,309,5592,https://imgur.com/a/HtpA0
FMA Cosplay ,6025,6120,198865,93,1676,https://imgur.com/a/ekuvmF0
Studio Ghibli Collection,6002,6048,121471,133,5472,https://imgur.com/a/byJJG
A smul dump in honor of net neutrality part 2 (new stuff that i stole),6002,6141,230601,271,1185,https://imgur.com/a/zxazWlT
Cake Day Dump,6000,6407,277309,321,2800,https://imgur.com/a/4qTqz
anime gifs some are broken sorry,5994,6193,109490,304,5161,https://imgur.com/a/16Xw1
The Day r/Wallstreetbets Made History,5964,6013,121194,293,1346,https://imgur.com/a/iCDR68O
Not Hentai,5964,6128,488441,283,3006,http://i.imgur.com/na7gI9uh.gif
His Power Level is OVER 9000!!,5953,5996,140830,193,1465,https://imgur.com/a/nPmwfHG
"Girlfriend asks for sexy times, not in the mood but I decide to try anyway",5943,6122,30419,533,1638,https://i.imgur.com/8aD5nUU.gif
A short title or a long description,5925,5998,323746,279,2941,https://imgur.com/a/blSFV
Six anime to get hyped for coming out in April,5861,6097,154137,299,5433,https://imgur.com/a/Z4xt8
